task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
74	47/ce061d	2443144	lasso (sigmod, samples_3.txt)	CACHED	0	2019-08-31 01:39:36.691	2m 8s	1m 48s	19.0%	6.6 GB	8.5 GB	154.5 MB	2.7 KB
35	24/55f7c7	2441000	lasso (all_snps, samples_2.txt)	CACHED	0	2019-08-22 10:20:54.034	1h 26m 50s	1h 26m 44s	13.6%	13.5 GB	13.6 GB	154.5 MB	2.8 KB
77	84/5dd8a2	2443147	lasso (heinz, samples_3.txt)	CACHED	0	2019-08-31 13:33:25.915	1m 7s	45.6s	29.7%	6.4 GB	8.4 GB	154.5 MB	2.7 KB
78	25/f86682	2443148	lasso (dmgwas, samples_1.txt)	CACHED	0	2019-09-01 01:24:13.413	1m 37s	1m 33s	20.2%	6.6 GB	8.5 GB	154.5 MB	2.7 KB
39	48/c7d2dc	31758	heinz (samples_2.txt)	CACHED	0	2019-09-01 01:30:43.779	14.6s	14.4s	114.0%	813.6 MB	21 GB	59 MB	1.6 MB
69	9a/bde650	2442780	lasso (scones_gs, samples_4.txt)	CACHED	0	2019-08-29 17:40:33.886	1m 40s	1m 13s	22.2%	6.5 GB	8.4 GB	154.5 MB	2.7 KB
76	a8/659455	2443146	lasso (dmgwas, samples_3.txt)	CACHED	0	2019-08-31 13:33:05.796	2m 7s	1m 55s	18.4%	6.6 GB	8.6 GB	154.5 MB	2.7 KB
92	36/533fb3	2443297	lasso (sigmod, samples_4.txt)	CACHED	0	2019-09-02 17:39:12.042	1m 40s	1m 25s	21.1%	6.5 GB	8.5 GB	154.5 MB	2.7 KB
86	be/401b3f	2443156	lasso (heinz, samples_1.txt)	CACHED	0	2019-09-01 15:08:57.890	1m 10s	40.1s	32.0%	6.4 GB	8.4 GB	154.5 MB	2.7 KB
89	64/f1a93b	2443158	lasso (dmgwas, samples_4.txt)	CACHED	0	2019-09-02 05:15:35.792	2m 9s	2m	18.2%	6.6 GB	8.6 GB	154.5 MB	2.7 KB
90	65/acc86c	2443296	lasso (dmgwas, samples_2.txt)	CACHED	0	2019-09-02 17:28:14.666	2m 7s	1m 50s	18.9%	6.6 GB	8.6 GB	154.5 MB	2.7 KB
