seed	genes
CREBBP	MYC
CREBBP	HSPA1A
CREBBP	VARS
CREBBP	PSMA5
CREBBP	HSPA1L
NUMA1	NUMA1
NUMA1	CLIC1
NUMA1	MYC
NUMA1	HSPA1A
NUMA1	VARS
NUMA1	HSPA1L
PLCG1	PLCG1
PLCG1	CLIC1
PLCG1	MYC
PLCG1	ERBB2
PLCG1	HSPA1A
PLCG1	GRB7
PLCG1	CHN1
PLCG1	LY6G6F
KTN1	KTN1
KTN1	CLIC1
KTN1	MYC
KTN1	HSPA1A
KTN1	VARS
KTN1	HSPA1L
KTN1	TMEM237
KDR	KDR
KDR	CLIC1
KDR	MYC
KDR	HSPA1A
KDR	CDH5
KDR	VARS
KDR	PSMA5
KDR	HSPA1L
KDR	NAXD
PPARGC1B	PPARGC1B
PPARGC1B	KIF1BP
PPARGC1B	OFD1
PPARGC1B	RAB6A
PPARGC1B	SCARB2
PPARGC1B	PNKD
SMARCA4	SMARCA4
SMARCA4	CLIC1
SMARCA4	MYC
SMARCA4	HSPA1A
SMARCA4	ARPC2
SMARCA4	PPP1R12A
SMARCA4	HSPA1L
SMARCA4	MYO18A
DDX54	DDX54
DDX54	CLIC1
DDX54	MYC
DDX54	HSPA1A
DDX54	VARS
DDX54	PSMA5
DDX54	HSPA1L
ESR1	ESR1
ESR1	ERBB2
ESR1	HSPA1A
ESR1	GRB7
ESR1	CHN1
ESR1	HSPA1L
ESR1	LY6G6F
FGFR1	FGFR1
FGFR1	CLIC1
FGFR1	MYC
FGFR1	HSPA1A
FGFR1	VARS
FGFR1	HSPA1L
FGFR1	DNAJB7
TGFB1	TGFB1
TGFB1	CLIC1
TGFB1	MYC
TGFB1	HSPA1A
TGFB1	VARS
TGFB1	HSPA1L
TGFB1	DNAJB7
SUMO1	SUMO1
SUMO1	IKZF3
SUMO1	ARPC2
SUMO1	PPP1R12A
SUMO1	MYO18A
MPP6	MPP6
MPP6	NDN
MPP6	CLIC1
MPP6	MYC
MPP6	HSPA1A
MPP6	NEFL
MPP6	SSTR3
MPP6	VPS26A
MPP6	MAGEL2
MPP6	FAM102B
GABRG2	GABRG2
GABRG2	NUFIP2
GABRG2	TMEM268
GABRG2	CHRNA9
GABRG2	ANKRD10
GABRG2	DNAJC18
SFN	SFN
SFN	ERBB2
SFN	GRB7
SFN	CHN1
SFN	LY6G6F
TGFB1I1	TGFB1I1
TGFB1I1	CDKN2B
TGFB1I1	ERBB2
TGFB1I1	GRB7
TGFB1I1	CHN1
TGFB1I1	LY6G6F
NR3C1	NR3C1
NR3C1	CLIC1
NR3C1	MYC
