seed	Zm	Zn	zcount
TRIM56	7.984573326426464	7.6335215038999324	0
ARPC5	7.983828865250607	7.6327917401347305	0
RPS6KA1	7.983744854039774	7.63270938750235	0
KHK	7.983641144367746	7.632607725302626	0
TGFA	7.982418505540397	7.631409224234923	0
PITPNA	7.977582004122547	7.630626180316253	0
DSP	7.977221825535677	7.6302734275107635	0
ZNF428	7.981214354720277	7.630228846177799	0
ZNF784	7.975570487460743	7.6286561349787245	0
PSMC1	7.9753107578702	7.628401760218334	0
SELENOH	7.978391281340788	7.62746150689179	0
AP2A1	7.973293515893346	7.6264261076042485	0
CPLX1	7.972858758905138	7.626000313976067	0
ENO1	7.976745339566103	7.625848059870306	0
PITX1	7.9715493317382125	7.624717883194349	0
PER1	7.970237948077521	7.623433536255786	0
QARS	7.969010095018987	7.62223099777372	0
RNPS1	7.972386120695027	7.62157490220962	0
POR	7.967192757281788	7.620451127984984	0
IRAK2	7.966945578224163	7.6202090450038895	0
NRBP1	7.965941155796546	7.619225330696168	0
APLP1	7.965324307532451	7.6186211999575475	0
UCHL1	7.964984549354471	7.6182884465545415	0
ESRRA	7.968205848597507	7.617477158493243	0
LRRC59	7.967960074994377	7.6172362370378	0
POLH	7.920506173864548	7.6166080908129095	0
LYN	7.963104687721073	7.616447341921209	0
TXNL1	7.9622795551467735	7.615639221058125	0
BBS12	7.966110614316527	7.6154232890539015	0
BCL10	7.958890758705905	7.612320291240173	0
TICAM2	7.962139757858594	7.611530826620945	0
WDR20	7.957930664048931	7.611379990799976	0
MCUB	7.961363167089101	7.610769567575685	0
CPNE6	7.961240262709562	7.61064908961702	0
DHX8	7.960068681710005	7.609500638375769	0
RAPGEF5	7.960025781546764	7.609458585162426	0
TACC3	7.912629758631907	7.608864402592235	0
DOCK11	7.957957459350173	7.607431096499774	0
MEOX1	7.95365534569653	7.607192816442172	0
APOM	7.910683228671166	7.606950673988172	0
POTEI	7.9529697779901145	7.606521383046053	0
NRF1	7.951972115612737	7.605544289417001	0
PPP6C	7.89157865845479	7.604814441170298	0
AKAP9	7.950897121420205	7.604491458318416	0
ZNF622	7.954905220586286	7.604439116091842	0
DTWD2	7.954905220586286	7.604439116091842	0
PSMC3	7.908112016650672	7.604422789963794	0
GATD1	7.954150592271809	7.603699385911195	0
PLOD1	7.950013590642834	7.603626143244684	0
SMAD1	7.905344017936109	7.601701435336378	0
SLC25A25	7.904275377199603	7.600650802473712	0
TFB2M	7.946393647432909	7.600080832197427	0
GK	7.9501590395163655	7.599786635774209	0
HDAC11	7.90287251827884	7.599271583402711	0
PYROXD2	7.945177837447988	7.598890088497613	0
ESD	7.94890299945853	7.598555392894692	0
ZNF800	7.9018529400704836	7.598269186305947	0
LSM1	7.901504116376345	7.597926240708031	0
HIST1H2BD	7.947558482102706	7.597237419466682	0
RPS6KB1	7.946936876373415	7.596628085693222	0
APC	7.941158108587946	7.594953234158184	0
MAN1B1	7.939939681494811	7.593759927306925	0
ILF3	7.93973067371632	7.5935552286298815	0
SAC3D1	7.939725419464636	7.593550082704804	0
ITK	7.9418047793436815	7.591597308302462	0
PPP1R13B	7.9418047793436815	7.591597308302462	0
OPCML	7.9418047793436815	7.591597308302462	0
HIST1H2BE	7.94160971229418	7.591406092334285	0
IMPDH2	7.937453939636073	7.591325433846296	0
GUK1	7.937056669433734	7.590936354141058	0
MANEA	7.940556677583973	7.590373847000438	0
LIMA1	7.9404067613088	7.590226890424349	0
VPS25	7.936194797489866	7.590092251361893	0
C12orf45	7.939957506610175	7.58978650506775	0
BTC	7.938433264791299	7.588292355359351	0
MLF2	7.9335656109342985	7.587517270595567	0
UPF3A	7.937505806029608	7.587383206810104	0
SYN2	7.933271667275976	7.5872293871568814	0
EYA4	7.937237596433825	7.587120292301155	0
OGG1	7.936129539313683	7.586034110828867	0
ITPKB	7.935712206972369	7.585625017607334	0
CD82	7.935020648763941	7.584947112380835	0
LRWD1	7.888263489572105	7.584908734293001	0
NAA16	7.887829931720121	7.584482482409088	0
SPATA6	7.929656406906463	7.583688662404183	0
NRG1	7.93329849878639	7.583258961685249	0
HCCS	7.927355654505118	7.5814353444838565	0
PITHD1	7.931353930543665	7.581352783782996	0
KRT74	7.926682501601566	7.580776069935318	0
CTU1	7.925027334325113	7.57915502714819	0
PMP22	7.924552452985634	7.578689936410198	0
SNRPD2	7.881570780109745	7.578328804985402	0
PSMC4	7.923447107096035	7.577607379373753	0
C1orf220	7.927319870417246	7.577398365470291	0
MAP3K13	7.863475640540548	7.577149920754741	0
PSEN1	7.9224986550266685	7.576678481486599	0
CDV3	7.926519057687027	7.576613362662651	0
NCAPG	7.879791682427067	7.576579687225372	0
MRPL53	7.926473383246761	7.5765685899430215	0
UBXN4	7.92236138794669	7.576544044434178	0
PAX6	7.921816452059682	7.576010343459268	0
CTNNA3	7.92159495551283	7.575793413494089	0
BTF3L4	7.925333146756169	7.575450864396572	0
GPR107	7.9252676757820195	7.575386685973094	0
TIMM50	7.877860853598778	7.574681395170911	0
DOCK10	7.860402073196805	7.574124310950519	0
CHPT1	7.923878268610907	7.574024708960093	0
TRAPPC13	7.9184966375006125	7.572758973327593	0
DAGLB	7.922012674008218	7.572195945572893	0
ZBTB7A	7.917855013454336	7.572130577607679	0
NEK1	7.921101268214094	7.571302533067961	0
CD99L2	7.91666273438877	7.570962879691597	0
PPRC1	7.920492304830134	7.570705592050268	0
CA14	7.873454881346987	7.570349668818366	0
BORA	7.919937652807221	7.570161890159901	0
METAP1	7.872731182565351	7.569638165226295	0
TRRAP	7.914286850308626	7.568635979078008	0
UTP15	7.871283856197008	7.568215228037362	0
SNAPC1	7.917931215300727	7.568195064438338	0
BCAP29	7.916357650072993	7.566652565080919	0
FEN1	7.851729195067816	7.565586757624637	0
MUS81	7.91112605808281	7.565540352725212	0
USP15	7.915175101447882	7.5654933627407805	0
RHOBTB2	7.911031527498681	7.565447771072743	0
ANP32E	7.8684119810670525	7.565391747436323	0
TGM5	7.914958212796521	7.565280755980376	0
CAPN5	7.914604299719463	7.564933829977995	0
DLK1	7.910369809878684	7.564799696047173	0
PHB	7.867514147997606	7.564509043927347	0
DOK6	7.913599241086438	7.563948613560979	0
MCM7	7.908996557766107	7.563454756195067	0
TRDMT1	7.905924775933101	7.560446305112889	0
CHAC2	7.9054509055358295	7.559982204474569	0
ENAH	7.905313411672752	7.559847545314623	0
CEP41	7.905165097260083	7.5597022886917395	0
WEE1	7.904229762320959	7.558786237499702	0
TRAPPC2B	7.904215802919878	7.5587725658987965	0
EEA1	7.907963961146263	7.558424587271259	0
PARP11	7.903687996449305	7.55825564118412	0
AMTN	7.907074393846673	7.55755258211773	0
WDR92	7.906054068061759	7.556552399958231	0
SF3B5	7.900604419081448	7.555235637754961	0
NSFL1C	7.8580467699010805	7.555201202468846	0
PSMB5	7.857874650241853	7.5550319832316255	0
IVL	7.904462323156717	7.554992079832998	0
PAX2	7.900102439349962	7.5547440073109655	0
DRAP1	7.857336724818053	7.554503122494241	0
HADHB	7.899700627840002	7.554350479925986	0
